id,expected,predicted,correct,response,prompt_tokens,generated_tokens,prompt_duration_ns,generation_duration_ns
Mercury_417466,A,D,False,D,111,2,26407250,9177875
Mercury_7081673,B,B,True,B,87,2,19600292,8501000
Mercury_7239733,D,D,True,D,94,2,19449541,8970375
NYSEDREGENTS_2015_4_8,D,D,True,D,75,2,19171916,9138333
Mercury_7037258,B,C,False,C,103,2,19600625,8653917
CSZ20679,C,C,True,C,89,2,55332583,8487333
Mercury_182158,A,D,False,D,101,2,19562542,9236958
Mercury_7216668,C,,False,grams,93,2,19189791,8602334
MCAS_2001_5_19,C,C,True,C,70,2,14580458,8574416
Mercury_SC_413631,A,D,False,D,118,2,27013708,9175167
MCAS_2005_5_10,B,D,False,D,105,2,40259917,8621000
Mercury_7166145,B,B,True,B,132,2,27736166,8649708
MSA_2013_5_6,B,B,True,B,98,2,19626208,8889000
Mercury_SC_405199,B,B,True,B,76,2,18947583,8603208
NYSEDREGENTS_2015_8_28,B,B,True,B,74,2,19193458,9725625
Mercury_SC_401777,B,B,True,B,77,2,18981750,8985083
Mercury_7198188,B,B,True,B,141,2,32246500,9071375
MCAS_1998_4_11,D,D,True,D,128,2,26480917,9183333
Mercury_SC_LBS10784,B,B,True,B,85,2,19621958,8586042
Mercury_7033548,D,D,True,D,88,2,19014042,8555875
Mercury_7146195,D,D,True,D,103,2,19533917,8389375
NCEOGA_2013_8_36,D,D,True,D,79,2,19088917,8646458
Mercury_SC_415412,D,C,False,C,111,2,26406292,8731792
Mercury_7126840,C,D,False,D,96,2,19554125,8629250
Mercury_SC_408362,B,D,False,D,93,2,19503375,8568875
MDSA_2008_8_35,C,B,False,B,116,2,26659791,8709208
NYSEDREGENTS_2015_8_21,B,D,False,D,87,2,19316208,11044250
VASoL_2008_5_12,B,B,True,B,85,2,19570458,9876250
Mercury_SC_LBS10680,A,D,False,D,102,2,19595125,8807042
MCAS_2003_5_3,B,B,True,B,69,2,14332709,9423709
VASoL_2010_5_18,A,D,False,D,77,2,19172333,8751959
Mercury_7074900,C,C,True,C,86,2,19216959,8728458
Mercury_SC_408762,A,D,False,D,95,2,19239875,8422166
ACTAAP_2015_5_8,A,D,False,D,154,2,32339250,8917583
Mercury_7263008,C,C,True,The answer is C,117,4,26422667,26449583
MCAS_2000_4_29,A,D,False,D,86,2,19214750,8823375
CSZ_2008_5_CSZ10233,D,D,True,D,112,2,26629083,8650334
Mercury_7128660,C,C,True,C,121,2,26648292,8895458
Mercury_7100520,C,C,True,C,96,2,19327542,9825625
Mercury_7017728,B,B,True,B,100,2,19687917,8692417
Mercury_7032865,A,A,True,A,85,2,19066458,8870667
Mercury_405057,B,B,True,B,92,2,19528958,8647291
Mercury_7057593,A,,False,spring,90,2,19136333,8579958
Mercury_SC_405231,C,D,False,D,108,2,26296500,8885708
VASoL_2007_5_38,A,A,True,A,112,2,26225708,8534667
Mercury_SC_410895,D,D,True,D,112,2,26516917,8971416
Mercury_7015978,D,D,True,D,110,2,26260125,8494125
ACTAAP_2010_5_5,C,C,True,C,158,2,33168709,8843083
Mercury_7080955,D,C,False,C,109,2,25951875,8643083
ACTAAP_2009_5_4,D,B,False,B,99,2,19527667,8868667
Mercury_7017010,A,D,False,D,92,2,19266042,8611959
Mercury_7146108,B,C,False,C,113,2,26172500,8822417
NYSEDREGENTS_2012_4_12,C,C,True,C,84,2,19876125,9084500
VASoL_2009_5_3,A,A,True,A,99,2,19616750,8583292
Mercury_SC_401253,C,C,True,C,97,2,20131666,8829459
Mercury_7235953,B,B,True,B,137,2,26749041,9143125
Mercury_403974,D,D,True,D,92,2,19364542,8757833
Mercury_7241063,C,C,True,C,104,2,19580375,8639250
MCAS_2010_8_12015,B,A,False,A,82,2,19083708,8963292
Mercury_7168350,A,A,True,A,86,2,19689875,8567167
Mercury_SC_402980,B,D,False,D,90,2,19221292,8983791
Mercury_417126,D,D,True,D,122,2,27140459,8735417
NYSEDREGENTS_2010_8_2,D,D,True,D,103,2,19571833,8524416
NYSEDREGENTS_2010_8_13,B,B,True,B,70,2,14436708,8911542
Mercury_177223,A,A,True,A. chemical,113,4,26224167,25775792
Mercury_7200533,A,D,False,D,89,2,19287375,9286166
Mercury_SC_400707,B,B,True,B,106,2,26343000,9869333
Mercury_SC_400380,B,B,True,B,86,2,19532041,8906000
Mercury_7205590,A,C,False,C,100,2,19457750,8645375
NYSEDREGENTS_2015_4_30,B,B,True,B,88,2,19246042,8546292
NYSEDREGENTS_2012_4_17,A,D,False,D,79,2,19116708,8535042
VASoL_2008_3_5,D,D,True,D,73,2,13950041,8641875
Mercury_SC_415390,D,D,True,D,81,2,19170041,9387375
Mercury_SC_408436,B,C,False,C,120,2,26332292,9129041
Mercury_SC_401143,C,C,True,C,86,2,19170417,8674458
LEAP_2005_8_10403,D,D,True,D,84,2,19104667,9113417
Mercury_7108045,B,C,False,C,127,2,26938750,11866042
Mercury_SC_402251,B,B,True,B,121,2,27287625,10455167
Mercury_7071418,B,B,True,B,153,2,33802209,9952667
Mercury_SC_407370,A,C,False,C,84,2,19322542,9306041
Mercury_7084595,D,D,True,D,94,2,20647625,9682667
Mercury_7041335,A,B,False,B,77,2,19064541,8716000
Mercury_7236320,C,C,True,C,106,2,19873875,8891708
LEAP__5_10308,A,A,True,A,102,2,19772625,8703250
Mercury_7068425,B,B,True,B,89,2,19809000,8859041
Mercury_SC_401308,A,B,False,B,92,2,19468250,8442209
NYSEDREGENTS_2008_4_18,A,A,True,A,78,2,18999166,8967083
Mercury_7165550,A,D,False,D,115,2,26298208,8734250
Mercury_7114923,C,C,True,C,100,2,19664542,8781750
Mercury_SC_408434,D,D,True,D,110,2,26152208,8806417
Mercury_7008453,C,C,True,C,99,2,19538125,8422250
NYSEDREGENTS_2010_8_14,C,C,True,C,92,2,19287583,8715166
NYSEDREGENTS_2015_8_24,C,C,True,C,95,2,19438292,8593459
NYSEDREGENTS_2008_4_6,B,B,True,B,81,2,19348416,9038292
Mercury_400279,B,D,False,D,131,2,26814750,9481875
Mercury_7092190,A,A,True,A,79,2,19467334,9104958
Mercury_7113890,A,D,False,D,111,2,27939167,9863250
TAKS_2009_8_17,C,C,True,C,112,2,27907959,10385250
AKDE&ED_2008_4_3,B,D,False,D,103,2,20695625,11052041
Mercury_7202353,C,B,False,B,102,2,19642500,8985333
