seed,dataset,method,bits_per_weight,float_accuracy,accuracy_delta,one_time_conversion_ms,incremental_bits_per_weight,incremental_payload_bytes,weight_count,bias_count,accuracy,float_agreement,logit_mae,weight_mae,weight_rmse,weight_max_error,runtime_ms,reconstruction_ms,payload_bits,metadata_bits,total_bytes,active_plane_fraction,primitive_weight_ops_per_sample,incremental_plane_ops_per_sample
7,moons,independent,1,0.974,-0.19199999999999995,0.018875114619731903,1,40,320,34,0.782,0.796,1.9047817991408378,0.22900970387694314,0.3033446548988607,2.373992689224906,0.03611249849200249,0.018875114619731903,320,1184,188,1.0,320,320
7,moons,monna,1,0.974,-0.474,0.5332918372005224,1,40,320,34,0.5,0.498,3.3672398770712317,0.3512026346550556,0.46953556429914217,2.689485549926758,0.03513544797897339,0.02829195000231266,320,1184,188,0.0,0,0
7,moons,residual_binary,1,0.974,-0.19199999999999995,0.2661668695509434,1,40,320,34,0.782,0.796,1.9047817991408378,0.22900970387694314,0.3033446548988607,2.373992689224906,0.035056250635534525,0.012582866474986076,320,1184,188,1.0,320,320
7,moons,independent,2,0.974,-0.028000000000000025,1.8648749683052301,2,80,320,34,0.946,0.948,1.5228254272527688,0.1484355039397494,0.19320916920981732,1.540084373282571,0.03616873873397708,1.8648749683052301,640,1184,228,1.0,320,320
7,moons,monna,2,0.974,-0.474,0.5332918372005224,1,40,320,34,0.5,0.502,3.371062181449549,0.3141367496253224,0.4050800281876592,1.344742774963379,0.05628749495372176,0.17995783127844334,640,1184,228,0.05625,18,18
7,moons,residual_binary,2,0.974,-0.05999999999999994,0.2661668695509434,1,40,320,34,0.914,0.92,1.3832089571772432,0.1268925000346976,0.19834667986579088,2.149845994438536,0.05855420604348183,0.02933293581008911,640,1280,240,1.0,640,320
7,moons,independent,3,0.974,-0.008000000000000007,2.8482081834226847,3,120,320,34,0.966,0.984,0.7805309389092423,0.07605540931796487,0.12493656207305924,1.6524406748659242,0.041754147969186306,2.8482081834226847,960,1184,268,1.0,320,320
7,moons,monna,3,0.974,-0.396,0.5332918372005224,1,40,320,34,0.578,0.584,3.3753286833774108,0.20868632293131667,0.2610803272832427,0.6723713874816895,0.05740204360336065,0.024792039766907692,960,1184,268,0.134375,86,68
7,moons,residual_binary,3,0.974,-0.01200000000000001,0.2661668695509434,1,40,320,34,0.962,0.976,0.89284881659789,0.07817923507266493,0.15143559262837802,2.0317054711824083,0.05292915739119053,0.02691592089831829,960,1376,292,1.0,960,320
7,moons,independent,4,0.974,-0.006000000000000005,1.56074995175004,4,160,320,34,0.968,0.982,0.41931259997342507,0.05471594604397774,0.07656285035893583,0.7954257430483074,0.03526040818542242,1.56074995175004,1280,1184,308,1.0,320,320
7,moons,monna,4,0.974,-0.19399999999999995,0.5332918372005224,1,40,320,34,0.78,0.782,2.5547189720162407,0.12863294787530322,0.15364616434507444,0.3361856937408447,0.034877099096775055,0.020291190594434738,1280,1184,308,0.1875,180,94
7,moons,residual_binary,4,0.974,-0.006000000000000005,0.2661668695509434,1,40,320,34,0.968,0.974,0.6414131554010696,0.050300733376038555,0.12965997941113616,1.9526022748114875,0.035783357452601194,0.01937500201165676,1280,1472,344,1.0,1280,320
7,moons,independent,5,0.974,0.0020000000000000018,1.543459016829729,5,200,320,34,0.976,0.99,0.17528109664041813,0.03237250938435878,0.042750783167761444,0.36832105458824493,0.03491670358926058,1.543459016829729,1600,1184,348,1.0,320,320
7,moons,monna,5,0.974,-0.0040000000000000036,0.5332918372005224,1,40,320,34,0.97,0.984,1.2850328508363202,0.0698366909782635,0.08464389438546738,0.16809284687042236,0.03481664462015033,0.0213750172406435,1600,1184,348,0.24453125,313,133
7,moons,residual_binary,5,0.974,-0.0040000000000000036,0.2661668695509434,1,40,320,34,0.97,0.98,0.6253947302559186,0.037953692600462385,0.1194302906029478,1.9003955719112284,0.03501875326037407,0.021290965378284454,1600,1568,396,1.0,1600,320
7,moons,independent,6,0.974,0.0,1.5316249337047338,6,240,320,34,0.974,1.0,0.08168203068505468,0.018429568647554302,0.0219240434162862,0.07627702993078467,0.034839543513953686,1.5316249337047338,1920,1184,388,1.0,320,320
7,moons,monna,6,0.974,0.0,0.5332918372005224,1,40,320,34,0.974,0.988,0.7297144424745279,0.03556752584700007,0.042700578891119584,0.08404642343521118,0.03474580589681864,0.023417174816131592,1920,1184,388,0.29,464,151
7,moons,residual_binary,6,0.974,0.0,0.2661668695509434,1,40,320,34,0.974,0.992,0.28851707654923814,0.02928887184034229,0.113165885092409,1.860412887604702,0.03516664728522301,0.02391706220805645,1920,1664,448,1.0,1920,320
7,moons,independent,7,0.974,0.0,1.5191249549388885,7,280,320,34,0.974,1.0,0.05490621767704774,0.009111836793904548,0.010811431723386196,0.020981008098238996,0.035200000274926424,1.5191249549388885,2240,1184,428,1.0,320,320
7,moons,monna,7,0.974,0.0040000000000000036,0.5332918372005224,1,40,320,34,0.978,0.996,0.30214150463801437,0.017562282059225255,0.021127612389048252,0.04202321171760559,0.03464169567450881,0.026124995201826096,2240,1184,428,0.3229166666666667,620,156
7,moons,residual_binary,7,0.974,0.0020000000000000018,0.2661668695509434,1,40,320,34,0.976,0.994,0.25814662659484655,0.025116766071765904,0.10920027323262418,1.8289649728190245,0.03767919261008501,0.027416041120886803,2240,1760,500,1.0,2240,320
7,moons,independent,8,0.974,0.0,1.8075001426041126,8,320,320,34,0.974,1.0,0.03185630614232606,0.004807945282159989,0.00568525912950889,0.010585844399422173,0.037108350079506636,1.8075001426041126,2560,1184,468,1.0,320,320
7,moons,monna,8,0.974,0.0,0.5332918372005224,1,40,320,34,0.974,1.0,0.14277407132692882,0.009702106632175855,0.011343311635988765,0.021011605858802795,0.03679374931380153,0.03541586920619011,2560,1184,468,0.3379464285714286,757,137
7,moons,residual_binary,8,0.974,0.0,0.2661668695509434,1,40,320,34,0.974,0.992,0.2710638814200337,0.021974158046928725,0.10616188441873453,1.8015376295354935,0.036185444332659245,0.035999808460474014,2560,1856,552,1.0,2560,320
7,digits,independent,1,0.9733333333333334,-0.05777777777777782,0.013666925951838493,1,296,2368,42,0.9155555555555556,0.9266666666666666,2.2594785966060176,0.11098523053314023,0.1334334855600618,0.4427442039244429,0.03767500165849924,0.013666925951838493,2368,1408,472,1.0,2368,2368
7,digits,monna,1,0.9733333333333334,-0.8777777777777778,0.07495819590985775,1,296,2368,42,0.09555555555555556,0.10222222222222223,5.105890233573633,0.1891015924775935,0.23499828359445923,0.7241173982620239,0.037556246388703585,0.00700005330145359,2368,1408,472,0.0,0,0
7,digits,residual_binary,1,0.9733333333333334,-0.05777777777777782,0.1319169532507658,1,296,2368,42,0.9155555555555556,0.9266666666666666,2.2594785966060176,0.11098523053314023,0.1334334855600618,0.4427442039244429,0.03764375578612089,0.010041985660791397,2368,1408,472,1.0,2368,2368
7,digits,independent,2,0.9733333333333334,-0.015555555555555656,1.3336250558495522,2,592,2368,42,0.9577777777777777,0.9555555555555556,1.3286637893497348,0.0642184706693206,0.08006113201513865,0.39978824880797087,0.037622894160449505,1.3336250558495522,4736,1408,768,1.0,2368,2368
7,digits,monna,2,0.9733333333333334,-0.22666666666666668,0.07495819590985775,1,296,2368,42,0.7466666666666667,0.7577777777777778,4.163950800463046,0.12532558442277808,0.15345113164094734,0.36205869913101196,0.039491651114076376,0.013125129044055939,4736,1408,768,0.19890202702702703,471,471
7,digits,residual_binary,2,0.9733333333333334,-0.004444444444444473,0.1319169532507658,1,296,2368,42,0.9688888888888889,0.98,1.1859946759603281,0.05752333603267104,0.0732433271361256,0.33612841096672763,0.03771040355786681,0.017541926354169846,4736,1472,776,1.0,4736,2368
7,digits,independent,3,0.9733333333333334,-0.0022222222222222365,1.2925409246236086,3,888,2368,42,0.9711111111111111,0.9844444444444445,0.5493440882544118,0.03236547490297461,0.0392743219493762,0.24979693521276364,0.037591648288071156,1.2925409246236086,7104,1408,1064,1.0,2368,2368
7,digits,monna,3,0.9733333333333334,-0.02444444444444449,0.07495819590985775,1,296,2368,42,0.9488888888888889,0.9666666666666667,2.565277226072551,0.07224604563292342,0.08564043439805509,0.18102934956550598,0.0376041978597641,0.01695915125310421,7104,1408,1064,0.2671030405405405,1265,794
7,digits,residual_binary,3,0.9733333333333334,-0.0022222222222222365,0.1319169532507658,1,296,2368,42,0.9711111111111111,0.9911111111111112,0.7254117819021975,0.0330749176741724,0.044958537298414494,0.28092282929000767,0.037677050568163395,0.01500011421740055,7104,1536,1080,1.0,7104,2368
7,digits,independent,4,0.9733333333333334,0.0022222222222221255,1.2623339425772429,4,1184,2368,42,0.9755555555555555,0.9977777777777778,0.2708736502441292,0.01725082477499638,0.02078275257765902,0.1655373319829504,0.037645804695785046,1.2623339425772429,9472,1408,1360,1.0,2368,2368
7,digits,monna,4,0.9733333333333334,0.0,0.07495819590985775,1,296,2368,42,0.9733333333333334,0.9933333333333333,1.3778497058463703,0.03747412377095629,0.04397140119634825,0.09051467478275299,0.03758545499294996,0.018040882423520088,9472,1408,1360,0.32432432432432434,2304,1039
7,digits,residual_binary,4,0.9733333333333334,0.0022222222222221255,0.1319169532507658,1,296,2368,42,0.9755555555555555,0.9977777777777778,0.467005687437248,0.01965025223009242,0.030348743584440768,0.24883799208175006,0.037614593748003244,0.017667189240455627,9472,1600,1384,1.0,9472,2368
7,digits,independent,5,0.9733333333333334,0.004444444444444362,1.2714581098407507,5,1480,2368,42,0.9777777777777777,0.9933333333333333,0.1360072732376477,0.008701400454460242,0.010636062227969433,0.10874178536701334,0.03767499001696706,1.2714581098407507,11840,1408,1656,1.0,2368,2368
7,digits,monna,5,0.9733333333333334,0.0022222222222221255,0.07495819590985775,1,296,2368,42,0.9755555555555555,0.9977777777777778,0.6926722252034333,0.01898201865762647,0.022237691149133494,0.045257337391376495,0.03759789979085326,0.020625069737434387,11840,1408,1656,0.3603251689189189,3413,1109
7,digits,residual_binary,5,0.9733333333333334,0.004444444444444362,0.1319169532507658,1,296,2368,42,0.9777777777777777,0.9933333333333333,0.3167369675793031,0.012314201478735935,0.023081083193507285,0.2297710256765162,0.03762500127777457,0.020208070054650307,11840,1664,1688,1.0,11840,2368
7,digits,independent,6,0.9733333333333334,0.0022222222222221255,1.2783748097717762,6,1776,2368,42,0.9755555555555555,0.9977777777777778,0.07765764547221904,0.004514056449199948,0.005509535879239844,0.061398805177463656,0.037629157304763794,1.2783748097717762,14208,1408,1952,1.0,2368,2368
7,digits,monna,6,0.9733333333333334,0.0022222222222221255,0.07495819590985775,1,296,2368,42,0.9755555555555555,0.9977777777777778,0.35895992514719716,0.009532758329409741,0.011140139369267811,0.022628668695688248,0.03680625231936574,0.023166881874203682,14208,1408,1952,0.3842905405405405,4550,1137
7,digits,residual_binary,6,0.9733333333333334,0.0022222222222221255,0.1319169532507658,1,296,2368,42,0.9755555555555555,0.9955555555555555,0.28352741051316854,0.008692857710204178,0.01951720616541945,0.21729122546249713,0.03786040470004082,0.024333829060196877,14208,1728,1992,1.0,14208,2368
7,digits,independent,7,0.9733333333333334,0.0,1.3129578437656164,7,2072,2368,42,0.9733333333333334,1.0,0.03611751198214881,0.0024574960791605245,0.002843189874802766,0.009556924968252334,0.0373625080101192,1.3129578437656164,16576,1408,2248,1.0,2368,2368
7,digits,monna,7,0.9733333333333334,0.0022222222222221255,0.07495819590985775,1,296,2368,42,0.9755555555555555,0.9977777777777778,0.1789000968268687,0.004806729528027247,0.005598977506971381,0.011314334347844124,0.0378416501916945,0.030499882996082306,16576,1408,2248,0.4000563063063063,5684,1134
7,digits,residual_binary,7,0.9733333333333334,0.004444444444444362,0.1319169532507658,1,296,2368,42,0.9777777777777777,0.9933333333333333,0.257748068426151,0.006787709199493682,0.017471218216882155,0.20846602388690577,0.03684579860419035,0.028250040486454964,16576,1792,2296,1.0,16576,2368
7,digits,independent,8,0.9733333333333334,0.0,1.2726250570267439,8,2368,2368,42,0.9733333333333334,1.0,0.018937389078684808,0.001226683049991089,0.0014211205209271873,0.0028200431132879844,0.03753959899768233,1.2726250570267439,18944,1408,2544,1.0,2368,2368
7,digits,monna,8,0.9733333333333334,0.0022222222222221255,0.07495819590985775,1,296,2368,42,0.9755555555555555,0.9977777777777778,0.0940350195263917,0.0024543280324165434,0.00284033877794453,0.005657167173922062,0.03744580317288637,0.03091711550951004,18944,1408,2544,0.4112572393822394,6817,1133
7,digits,residual_binary,8,0.9733333333333334,0.0022222222222221255,0.1319169532507658,1,296,2368,42,0.9755555555555555,0.9955555555555555,0.21987265926570135,0.005652494172490846,0.01609057594922004,0.2014752770418089,0.037589599378407,0.02991710789501667,18944,1856,2600,1.0,18944,2368
19,moons,independent,1,0.97,-0.10999999999999999,0.013875076547265053,1,40,320,34,0.86,0.87,2.473773398317303,0.24958961704069224,0.3070812436023628,0.9925220102231833,0.031849998049438,0.013875076547265053,320,1184,188,1.0,320,320
19,moons,monna,1,0.97,-0.47,0.08008279837667942,1,40,320,34,0.5,0.522,3.702231795057654,0.35237839273177085,0.4758899844115836,1.3357471227645874,0.03391669597476721,0.006749993190169334,320,1184,188,0.0,0,0
19,moons,residual_binary,1,0.97,-0.10999999999999999,0.12995791621506214,1,40,320,34,0.86,0.87,2.473773398317303,0.24958961704069224,0.3070812436023628,0.9925220102231833,0.03257085336372256,0.01354096457362175,320,1184,188,1.0,320,320
19,moons,independent,2,0.97,-0.02400000000000002,1.5408338513225317,2,80,320,34,0.946,0.968,0.8933706795115625,0.15199122896819603,0.18693771018851665,0.7088715904097641,0.033035397063940763,1.5408338513225317,640,1184,228,1.0,320,320
19,moons,monna,2,0.97,-0.46199999999999997,0.08008279837667942,1,40,320,34,0.508,0.53,3.584725770013528,0.22322059902362526,0.28269625130961606,0.6678735613822937,0.0331499963067472,0.013665994629263878,640,1184,228,0.203125,65,65
19,moons,residual_binary,2,0.97,-0.04799999999999993,0.12995791621506214,1,40,320,34,0.922,0.944,1.4245565033163656,0.12691206251597292,0.1762913561941465,0.7533614451581343,0.03235624171793461,0.014250166714191437,640,1280,240,1.0,640,320
19,moons,independent,3,0.97,-0.0040000000000000036,1.4862499665468931,3,120,320,34,0.966,0.992,0.8688620548358891,0.07417163021483401,0.09328467515784016,0.4505682439327342,0.03233959432691336,1.4862499665468931,960,1184,268,1.0,320,320
19,moons,monna,3,0.97,-0.10599999999999998,0.08008279837667942,1,40,320,34,0.864,0.882,2.4761608671099284,0.13885240410454572,0.16395186946392062,0.33393678069114685,0.03206039546057582,0.015416881069540977,960,1184,268,0.234375,150,85
19,moons,residual_binary,3,0.97,-0.010000000000000009,0.12995791621506214,1,40,320,34,0.96,0.978,1.305054951720786,0.08417666152635399,0.12222939721327807,0.6291499530778459,0.03183750668540597,0.014791032299399376,960,1376,292,1.0,960,320
19,moons,independent,4,0.97,-0.0040000000000000036,1.453917007893324,4,160,320,34,0.966,0.996,0.5841165338010659,0.04031386008303936,0.04731830396652928,0.19193977577295596,0.03715000348165631,1.453917007893324,1280,1184,308,1.0,320,320
19,moons,monna,4,0.97,-0.04799999999999993,0.08008279837667942,1,40,320,34,0.922,0.944,1.5520648978701683,0.06970648625865579,0.0829905863899044,0.16696839034557343,0.03257915377616882,0.023667002096772194,1280,1184,308,0.2989583333333333,287,137
19,moons,residual_binary,4,0.97,-0.0020000000000000018,0.12995791621506214,1,40,320,34,0.968,0.99,1.0961960088746106,0.04938243703052288,0.08823046400266162,0.5418126452499477,0.03233335446566343,0.018208986148238182,1280,1472,344,1.0,1280,320
19,moons,independent,5,0.97,-0.006000000000000005,1.4654998667538166,5,200,320,34,0.964,0.994,0.32629787668106475,0.01983220384858453,0.02313466020232273,0.052354775663528086,0.03309580497443676,1.4654998667538166,1600,1184,348,1.0,320,320
19,moons,monna,5,0.97,-0.0020000000000000018,0.08008279837667942,1,40,320,34,0.968,0.994,0.8266152063953291,0.037202039593830706,0.04414146252052881,0.08348419517278671,0.032614602241665125,0.01970888115465641,1600,1184,348,0.32578125,417,130
19,moons,residual_binary,5,0.97,-0.006000000000000005,0.12995791621506214,1,40,320,34,0.964,0.99,0.8791118413333133,0.03897818519787487,0.07288639637434817,0.49085061694785137,0.0323625048622489,0.019541941583156586,1600,1568,396,1.0,1600,320
19,moons,independent,6,0.97,0.0,1.4482499100267887,6,240,320,34,0.97,0.996,0.20270292912270957,0.009783884380336779,0.011451093385015352,0.021208068055491303,0.032587500754743814,1.4482499100267887,1920,1184,388,1.0,320,320
19,moons,monna,6,0.97,-0.0040000000000000036,0.08008279837667942,1,40,320,34,0.966,0.996,0.4926190662890622,0.019713751052040606,0.023082016274014284,0.041742097586393356,0.0323479063808918,0.02170889638364315,1920,1184,388,0.3475,556,139
19,moons,residual_binary,6,0.97,-0.0020000000000000018,0.12995791621506214,1,40,320,34,0.968,0.998,0.6957052956340786,0.025758774146162577,0.06124804452993377,0.4501317535879661,0.032337510492652655,0.021875137463212013,1920,1664,448,1.0,1920,320
19,moons,independent,7,0.97,-0.0020000000000000018,1.4503751881420612,7,280,320,34,0.968,0.998,0.050270726604340225,0.004862334155566554,0.005711712966386886,0.01874043472566589,0.032510398887097836,1.4503751881420612,2240,1184,428,1.0,320,320
19,moons,monna,7,0.97,0.0,0.08008279837667942,1,40,320,34,0.97,1.0,0.20124352628928818,0.009949192014755682,0.011584920464263798,0.020871048793196678,0.032514543272554874,0.02550007775425911,2240,1184,428,0.3703125,711,155
19,moons,residual_binary,7,0.97,-0.0020000000000000018,0.12995791621506214,1,40,320,34,0.968,0.998,0.4571844985729217,0.02211615620157449,0.05528275186678522,0.4233457170375017,0.03228540299460292,0.024792039766907692,2240,1760,500,1.0,2240,320
19,moons,independent,8,0.97,0.0,1.4277917798608541,8,320,320,34,0.97,1.0,0.017132493335193053,0.0024404221836992705,0.002853970410316235,0.005255806868470575,0.03250414738431573,1.4277917798608541,2560,1184,468,1.0,320,320
19,moons,monna,8,0.97,0.0,0.08008279837667942,1,40,320,34,0.97,1.0,0.10140898285095375,0.004768262084689922,0.005643143591251612,0.010435524396598339,0.03219170030206442,0.03024982288479805,2560,1184,468,0.39107142857142857,876,165
19,moons,residual_binary,8,0.97,-0.0020000000000000018,0.12995791621506214,1,40,320,34,0.968,0.998,0.5583887164343759,0.01805474095116779,0.05036938029804483,0.399919679161578,0.032547954469919205,0.026791822165250778,2560,1856,552,1.0,2560,320
19,digits,independent,1,0.9866666666666667,-0.08444444444444443,0.012459000572562218,1,296,2368,42,0.9022222222222223,0.9022222222222223,2.3850525182529325,0.10702320336158207,0.13005654843853087,0.4897427347690382,0.03783544525504112,0.012459000572562218,2368,1408,472,1.0,2368,2368
