dataset,method,bits_per_weight,accuracy_mean,accuracy_std,accuracy_delta_mean,weight_rmse_mean,total_bytes,conversion_ms_mean,runtime_ms_mean,primitive_weight_ops,incremental_plane_ops
digits,independent,1,0.905925925925926,0.008413197549333687,-0.06888888888888889,0.13150496673749165,472,0.0131949782371521,0.03819861449301243,2368,2368
digits,independent,2,0.9562962962962963,0.013394919496314953,-0.018518518518518563,0.07924532349467091,768,1.4160416709880035,0.03781664418056607,2368,2368
digits,independent,3,0.9688888888888889,0.014572085609559984,-0.005925925925925927,0.039184959559818926,1064,1.3038056592146556,0.03738609763483206,2368,2368
digits,independent,4,0.974074074074074,0.011184939904104843,-0.0007407407407407826,0.020558177739720056,1360,1.3015696313232183,0.037918053567409515,2368,2368
digits,independent,5,0.9748148148148147,0.011403558754326415,-3.700743415417188e-17,0.010766262200692872,1656,1.302083410943548,0.040545143807927765,2368,2368
digits,independent,6,0.9748148148148147,0.012239045660635802,-3.700743415417188e-17,0.005634483397156491,1952,1.2957499517748754,0.037535419687628746,2368,2368
digits,independent,7,0.9755555555555556,0.010183501544346298,0.0007407407407407455,0.0029282540829226275,2248,1.2847079584995906,0.03779235606392225,2368,2368
digits,independent,8,0.9748148148148149,0.011184939904104818,0.0,0.0014751923707256372,2544,1.2649719913800557,0.03742501915742954,2368,2368
digits,monna,1,0.10000000000000002,0.00384900179459751,-0.8748148148148148,0.23512735831707146,472,0.0801811305185159,0.03846458081776897,0,0
digits,monna,2,0.708888888888889,0.032735377472569466,-0.26592592592592595,0.1601619853860135,768,0.0801811305185159,0.03840763044233123,471,471
digits,monna,3,0.9622222222222222,0.011758894715842674,-0.0125925925925926,0.0879467788089217,1064,0.0801811305185159,0.03763682907447219,1265,794
digits,monna,4,0.9748148148148149,0.006789001029564209,0.0,0.045516798174246344,1360,0.0801811305185159,0.038136118867745004,2304,1039
digits,monna,5,0.977037037037037,0.008981004187394191,0.0022222222222221997,0.02338887343081715,1656,0.0801811305185159,0.037426388977716364,3413,1109
digits,monna,6,0.9748148148148147,0.012239045660635802,-3.700743415417188e-17,0.01171721199261489,1952,0.0801811305185159,0.03719027930249771,4550,1137
digits,monna,7,0.9755555555555556,0.011111111111111113,0.0007407407407407085,0.005859730779437358,2248,0.0801811305185159,0.03783958964049816,5684,1134
digits,monna,8,0.9755555555555556,0.011111111111111113,0.0007407407407407085,0.002962725365881863,2544,0.0801811305185159,0.03748610227679213,6817,1133
digits,residual_binary,1,0.905925925925926,0.008413197549333687,-0.06888888888888889,0.13150496673749165,472,0.12774967278043428,0.03851250124474367,2368,2368
digits,residual_binary,2,0.9585185185185185,0.009251848886516112,-0.01629629629629629,0.07317031168082312,776,0.12774967278043428,0.038345829428484045,4736,2368
digits,residual_binary,3,0.965925925925926,0.013021033949071817,-0.00888888888888891,0.044963163721406525,1080,0.12774967278043428,0.03814998393257459,7104,2368
digits,residual_binary,4,0.9725925925925926,0.009251848886516142,-0.0022222222222222734,0.03060695102854452,1384,0.12774967278043428,0.03811459755524993,9472,2368
digits,residual_binary,5,0.9755555555555556,0.010183501544346295,0.0007407407407407085,0.023341639744848822,1688,0.12774967278043428,0.0377007022810479,11840,2368
digits,residual_binary,6,0.974074074074074,0.013394919496314902,-0.0007407407407407826,0.019797474395037738,1992,0.12774967278043428,0.037364584083358444,14208,2368
digits,residual_binary,7,0.9748148148148147,0.013578002059128442,-3.700743415417188e-17,0.017725163122667063,2296,0.12774967278043428,0.03699581526840726,16576,2368
digits,residual_binary,8,0.9748148148148147,0.012239045660635802,-3.700743415417188e-17,0.016354281623283357,2600,0.12774967278043428,0.037499998385707535,18944,2368
moons,independent,1,0.7906666666666666,0.06543189843901316,-0.17666666666666664,0.29364673879703257,188,0.015791738405823708,0.03493749536573887,320,320
moons,independent,2,0.94,0.010392304845413192,-0.02733333333333332,0.18200391882641384,228,1.6603892824302118,0.034422893077135086,320,320
moons,independent,3,0.9620000000000001,0.006928203230275515,-0.005333333333333338,0.09850356144281096,268,1.9882083870470524,0.03607569572826227,320,320
moons,independent,4,0.9633333333333333,0.006429100507328626,-0.0040000000000000036,0.053722261832382545,308,1.6052086527148883,0.03917500143870711,320,320
moons,independent,5,0.9653333333333333,0.010066445913694329,-0.0020000000000000018,0.02816087085597925,348,1.4930836235483487,0.03387361842518052,320,320
moons,independent,6,0.968,0.007211102550927985,0.0006666666666666673,0.01439446236711632,388,1.4818056176106136,0.033442346223940454,320,320
moons,independent,7,0.9659999999999999,0.009165151389911688,-0.0013333333333333346,0.0071291195860536056,428,1.4659444180627663,0.03368679899722338,320,320
moons,independent,8,0.9673333333333334,0.008326663997864522,0.0,0.003669145813668976,468,1.5832082523653905,0.034486118238419294,320,320
moons,monna,1,0.5,0.0,-0.4673333333333333,0.4666850285114841,188,0.23062480613589287,0.03431253135204315,0,0
moons,monna,2,0.5126666666666667,0.015534906930308056,-0.4546666666666666,0.31966746865728096,228,0.23062480613589287,0.04098541491354505,18,18
moons,monna,3,0.7426666666666666,0.14784225828001052,-0.22466666666666665,0.191645090038732,268,0.23062480613589287,0.04152706048140923,86,68
moons,monna,4,0.8753333333333334,0.08256714439371961,-0.09199999999999993,0.10440793215044537,308,0.23062480613589287,0.038352084811776876,180,94
moons,monna,5,0.9646666666666667,0.007571877794400387,-0.002666666666666669,0.055736691057785705,348,0.23062480613589287,0.0339430485231181,313,133
moons,monna,6,0.9653333333333333,0.009018499505645781,-0.0020000000000000018,0.028301149947179482,388,0.23062480613589287,0.033593038097023964,464,151
moons,monna,7,0.9686666666666666,0.010066445913694357,0.0013333333333333346,0.014163647584563614,428,0.23062480613589287,0.0338131794705987,620,156
moons,monna,8,0.9673333333333334,0.008326663997864522,0.0,0.007310949180869557,468,0.23062480613589287,0.03450556735818585,757,137
moons,residual_binary,1,0.7906666666666666,0.06543189843901316,-0.17666666666666664,0.29364673879703257,188,0.17704154985646406,0.03433473175391555,320,320
moons,residual_binary,2,0.924,0.011135528725660053,-0.04333333333333326,0.17487493008728838,240,0.17704154985646406,0.04274306896453103,640,320
moons,residual_binary,3,0.9513333333333334,0.016772994167212132,-0.015999999999999976,0.1219739049196995,292,0.17704154985646406,0.039169436786323786,960,320
moons,residual_binary,4,0.9633333333333333,0.008082903768654752,-0.0040000000000000036,0.09319011213476426,344,0.17704154985646406,0.03419585215548674,1280,320
moons,residual_binary,5,0.9646666666666667,0.0050332229568471835,-0.002666666666666669,0.07936211659805115,396,0.17704154985646406,0.0337895859653751,1600,320
moons,residual_binary,6,0.9666666666666667,0.008082903768654783,-0.0006666666666666673,0.07022346631391178,448,0.17704154985646406,0.03335693618282676,1920,320
moons,residual_binary,7,0.968,0.008000000000000007,0.0006666666666666673,0.06522057964780914,500,0.17704154985646406,0.03432778175920248,2240,320
moons,residual_binary,8,0.9673333333333334,0.007023769168568484,0.0,0.061340745665427236,552,0.17704154985646406,0.034553483904649816,2560,320
