seed,dataset,operand_bits,arithmetic,family,prime,places,modulus,rns_moduli,modulus_entropy_bits,physical_lane_bits,accuracy,float_accuracy,accuracy_delta,float_agreement,logit_mae,wrap_rate,wrapped_values,accumulator_values,max_abs_accumulator,runtime_ms,logical_macs,residue_macs,input_clip_rate,weight_clip_rate,parameter_count,weight_count,bias_count,weight_storage_packed_bytes,bias_storage_packed_bytes,parameter_storage_packed_bytes
7,moons,4,wide,integer-wide-accumulator,,,,,,32,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.27159182354807854,160000,160000,0.003,0.0,354,320,34,160,136,296
7,moons,4,modular,Z/2^8Z,2.0,8.0,256.0,,8.0,8,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.33640842884778976,160000,160000,0.003,0.0,354,320,34,160,34,194
7,moons,4,modular,Z/3^5Z,3.0,5.0,243.0,,7.924812503605781,8,0.954,0.974,-0.020000000000000018,0.968,0.7369148778354673,5.882352941176471e-05,1,17000,124,0.37984997034072876,160000,160000,0.003,0.0,354,320,34,160,34,194
7,moons,4,modular,Z/5^3Z,5.0,3.0,125.0,,6.965784284662087,7,0.822,0.974,-0.15200000000000002,0.836,1.955176785184885,0.008058823529411764,137,17000,135,0.4951084032654762,160000,160000,0.0026470588235294116,0.0,354,320,34,160,30,190
7,moons,4,rns,RNS,,,253.0,11x23,7.98299357469431,9,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,1.004274981096387,160000,320000,0.003,0.0,354,320,34,160,39,199
7,moons,4,modular,Z/2^12Z,2.0,12.0,4096.0,,12.0,12,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.39291661232709885,160000,160000,0.003,0.0,354,320,34,160,51,211
7,moons,4,modular,Z/3^7Z,3.0,7.0,2187.0,,11.094737505048093,12,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.4184334073215723,160000,160000,0.003,0.0,354,320,34,160,51,211
7,moons,4,modular,Z/5^5Z,5.0,5.0,3125.0,,11.609640474436812,12,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.9211417753249407,160000,160000,0.003,0.0,354,320,34,160,51,211
7,moons,4,rns,RNS,,,4087.0,61x67,11.996826528020659,13,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,1.1092915665358305,160000,320000,0.003,0.0,354,320,34,160,56,216
7,moons,4,modular,Z/2^16Z,2.0,16.0,65536.0,,16.0,16,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.5065082106739283,160000,160000,0.003,0.0,354,320,34,160,68,228
7,moons,4,modular,Z/3^10Z,3.0,10.0,59049.0,,15.849625007211563,16,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.4744249861687422,160000,160000,0.003,0.0,354,320,34,160,68,228
7,moons,4,modular,Z/5^6Z,5.0,6.0,15625.0,,13.931568569324174,14,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.42778337374329567,160000,160000,0.003,0.0,354,320,34,160,60,220
7,moons,4,rns,RNS,,,64507.0,251x257,15.97716810314465,17,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,1.3169416226446629,160000,320000,0.003,0.0,354,320,34,160,73,233
7,moons,4,modular,Z/2^18Z,2.0,18.0,262144.0,,18.0,18,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.5808500107377768,160000,160000,0.003,0.0,354,320,34,160,77,237
7,moons,4,modular,Z/3^11Z,3.0,11.0,177147.0,,17.43458750793272,18,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.572841614484787,160000,160000,0.003,0.0,354,320,34,160,77,237
7,moons,4,modular,Z/5^7Z,5.0,7.0,78125.0,,16.253496664211536,17,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.6800333969295025,160000,160000,0.003,0.0,354,320,34,160,73,233
7,moons,4,rns,RNS,,,256027.0,503x509,17.965936435881222,18,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,1.3490668032318354,160000,320000,0.003,0.0,354,320,34,160,77,237
7,moons,4,modular,Z/2^24Z,2.0,24.0,16777216.0,,24.0,24,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.44425842352211475,160000,160000,0.003,0.0,354,320,34,160,102,262
7,moons,4,modular,Z/3^15Z,3.0,15.0,14348907.0,,23.774437510817343,24,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.4818250425159931,160000,160000,0.003,0.0,354,320,34,160,102,262
7,moons,4,modular,Z/5^10Z,5.0,10.0,9765625.0,,23.219280948873624,24,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,0.6941332016140223,160000,160000,0.003,0.0,354,320,34,160,102,262
7,moons,4,rns,RNS,,,16777207.0,4093x4099,23.999999226077865,25,0.956,0.974,-0.018000000000000016,0.97,0.7170027770914411,0.0,0,17000,124,1.499808207154274,160000,320000,0.003,0.0,354,320,34,160,107,267
7,moons,8,wide,integer-wide-accumulator,,,,,,32,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,0.5104999989271164,160000,160000,0.00023529411764705883,0.0,354,320,34,320,136,456
7,moons,8,modular,Z/2^8Z,2.0,8.0,256.0,,8.0,8,0.49,0.974,-0.484,0.488,3.3663599265403477,0.8728823529411764,14839,17000,17656,0.438116816803813,160000,160000,0.00023529411764705883,0.0,354,320,34,320,34,354
7,moons,8,modular,Z/3^5Z,3.0,5.0,243.0,,7.924812503605781,8,0.486,0.974,-0.488,0.496,3.367802130900582,0.8825882352941177,15004,17000,17656,0.45797498896718025,160000,160000,0.00023529411764705883,0.0,354,320,34,320,34,354
7,moons,8,modular,Z/5^3Z,5.0,3.0,125.0,,6.965784284662087,7,0.5,0.974,-0.474,0.502,3.3670098627755087,0.9376470588235294,15940,17000,17656,0.527716800570488,160000,160000,0.00023529411764705883,0.0,354,320,34,320,30,350
7,moons,8,rns,RNS,,,253.0,11x23,7.98299357469431,9,0.482,0.974,-0.492,0.472,3.367166934537515,0.8774117647058823,14916,17000,17656,1.3201165944337845,160000,320000,0.00023529411764705883,0.0,354,320,34,320,39,359
7,moons,8,modular,Z/2^12Z,2.0,12.0,4096.0,,12.0,12,0.53,0.974,-0.44399999999999995,0.54,3.32982242549507,0.40247058823529414,6842,17000,17656,0.5605082027614117,160000,160000,0.00023529411764705883,0.0,354,320,34,320,51,371
7,moons,8,modular,Z/3^7Z,3.0,7.0,2187.0,,11.094737505048093,12,0.494,0.974,-0.48,0.5,3.36427622150409,0.49411764705882355,8400,17000,17656,0.5386249627918005,160000,160000,0.00023529411764705883,0.0,354,320,34,320,51,371
7,moons,8,modular,Z/5^5Z,5.0,5.0,3125.0,,11.609640474436812,12,0.488,0.974,-0.486,0.482,3.3761926480470215,0.44229411764705884,7519,17000,17656,0.6039499770849943,160000,160000,0.00023529411764705883,0.0,354,320,34,320,51,371
7,moons,8,rns,RNS,,,4087.0,61x67,11.996826528020659,13,0.538,0.974,-0.43599999999999994,0.548,3.333619194687923,0.4026470588235294,6845,17000,17656,1.3545750174671412,160000,320000,0.00023529411764705883,0.0,354,320,34,320,56,376
7,moons,8,modular,Z/2^16Z,2.0,16.0,65536.0,,16.0,16,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,0.466358195990324,160000,160000,0.00023529411764705883,0.0,354,320,34,320,68,388
7,moons,8,modular,Z/3^10Z,3.0,10.0,59049.0,,15.849625007211563,16,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,0.4907915834337473,160000,160000,0.00023529411764705883,0.0,354,320,34,320,68,388
7,moons,8,modular,Z/5^6Z,5.0,6.0,15625.0,,13.931568569324174,14,0.608,0.974,-0.366,0.61,3.1143080938206475,0.11129411764705882,1892,17000,25567,0.4888166207820177,160000,160000,0.00023529411764705883,0.0,354,320,34,320,60,380
7,moons,8,rns,RNS,,,64507.0,251x257,15.97716810314465,17,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,1.2713999953120947,160000,320000,0.00023529411764705883,0.0,354,320,34,320,73,393
7,moons,8,modular,Z/2^18Z,2.0,18.0,262144.0,,18.0,18,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,0.44424161314964294,160000,160000,0.00023529411764705883,0.0,354,320,34,320,77,397
7,moons,8,modular,Z/3^11Z,3.0,11.0,177147.0,,17.43458750793272,18,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,0.5215167999267578,160000,160000,0.00023529411764705883,0.0,354,320,34,320,77,397
7,moons,8,modular,Z/5^7Z,5.0,7.0,78125.0,,16.253496664211536,17,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,0.4935415927320719,160000,160000,0.00023529411764705883,0.0,354,320,34,320,73,393
7,moons,8,rns,RNS,,,256027.0,503x509,17.965936435881222,18,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,1.254491601139307,160000,320000,0.00023529411764705883,0.0,354,320,34,320,77,397
7,moons,8,modular,Z/2^24Z,2.0,24.0,16777216.0,,24.0,24,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,0.5089081823825836,160000,160000,0.00023529411764705883,0.0,354,320,34,320,102,422
7,moons,8,modular,Z/3^15Z,3.0,15.0,14348907.0,,23.774437510817343,24,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,0.6107168272137642,160000,160000,0.00023529411764705883,0.0,354,320,34,320,102,422
7,moons,8,modular,Z/5^10Z,5.0,10.0,9765625.0,,23.219280948873624,24,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,0.5957084242254496,160000,160000,0.00023529411764705883,0.0,354,320,34,320,102,422
7,moons,8,rns,RNS,,,16777207.0,4093x4099,23.999999226077865,25,0.974,0.974,0.0,1.0,0.054435278576896395,0.0,0,17000,26812,1.308675017207861,160000,320000,0.00023529411764705883,0.0,354,320,34,320,107,427
7,digits,4,wide,integer-wide-accumulator,,,,,,32,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.6911418177187443,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,168,1352
7,digits,4,modular,Z/2^8Z,2.0,8.0,256.0,,8.0,8,0.8888888888888888,0.9733333333333334,-0.08444444444444454,0.9022222222222223,1.1223133407869375,0.005396825396825397,102,18900,203,1.3797665946185589,1065600,1065600,0.0016666666666666668,0.0,2410,2368,42,1184,42,1226
7,digits,4,modular,Z/3^5Z,3.0,5.0,243.0,,7.924812503605781,8,0.8577777777777778,0.9733333333333334,-0.11555555555555563,0.8711111111111111,1.308942821091208,0.008306878306878308,157,18900,203,1.3924416154623032,1065600,1065600,0.0011342592592592593,0.0,2410,2368,42,1184,42,1226
7,digits,4,modular,Z/5^3Z,5.0,3.0,125.0,,6.965784284662087,7,0.38666666666666666,0.9733333333333334,-0.5866666666666667,0.3844444444444444,4.089160836187613,0.1344973544973545,2542,18900,203,1.193533418700099,1065600,1065600,0.0011342592592592593,0.0,2410,2368,42,1184,37,1221
7,digits,4,rns,RNS,,,253.0,11x23,7.98299357469431,9,0.8688888888888889,0.9733333333333334,-0.10444444444444445,0.8822222222222222,1.2152711866252899,0.006613756613756613,125,18900,203,3.8176000118255615,1065600,2131200,0.0015972222222222223,0.0,2410,2368,42,1184,48,1232
7,digits,4,modular,Z/2^12Z,2.0,12.0,4096.0,,12.0,12,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,2.2834499832242727,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,63,1247
7,digits,4,modular,Z/3^7Z,3.0,7.0,2187.0,,11.094737505048093,12,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,2.505166595801711,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,63,1247
7,digits,4,modular,Z/5^5Z,5.0,5.0,3125.0,,11.609640474436812,12,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.893075043335557,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,63,1247
7,digits,4,rns,RNS,,,4087.0,61x67,11.996826528020659,13,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,4.004924977198243,1065600,2131200,0.0025694444444444445,0.0,2410,2368,42,1184,69,1253
7,digits,4,modular,Z/2^16Z,2.0,16.0,65536.0,,16.0,16,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.9099584314972162,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,84,1268
7,digits,4,modular,Z/3^10Z,3.0,10.0,59049.0,,15.849625007211563,16,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.2651999946683645,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,84,1268
7,digits,4,modular,Z/5^6Z,5.0,6.0,15625.0,,13.931568569324174,14,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.4551749918609858,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,74,1258
7,digits,4,rns,RNS,,,64507.0,251x257,15.97716810314465,17,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,4.340833192691207,1065600,2131200,0.0025694444444444445,0.0,2410,2368,42,1184,90,1274
7,digits,4,modular,Z/2^18Z,2.0,18.0,262144.0,,18.0,18,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.3364499900490046,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,95,1279
7,digits,4,modular,Z/3^11Z,3.0,11.0,177147.0,,17.43458750793272,18,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,2.258775010704994,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,95,1279
7,digits,4,modular,Z/5^7Z,5.0,7.0,78125.0,,16.253496664211536,17,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.6040249727666378,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,90,1274
7,digits,4,rns,RNS,,,256027.0,503x509,17.965936435881222,18,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,3.055600030347705,1065600,2131200,0.0025694444444444445,0.0,2410,2368,42,1184,95,1279
7,digits,4,modular,Z/2^24Z,2.0,24.0,16777216.0,,24.0,24,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.3434166088700294,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,126,1310
7,digits,4,modular,Z/3^15Z,3.0,15.0,14348907.0,,23.774437510817343,24,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.1887500062584877,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,126,1310
7,digits,4,modular,Z/5^10Z,5.0,10.0,9765625.0,,23.219280948873624,24,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.2501333840191364,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,126,1310
7,digits,4,rns,RNS,,,16777207.0,4093x4099,23.999999226077865,25,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,2.587574999779463,1065600,2131200,0.0025694444444444445,0.0,2410,2368,42,1184,132,1316
7,digits,8,wide,integer-wide-accumulator,,,,,,32,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,1.1207665782421827,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,168,2536
7,digits,8,modular,Z/2^8Z,2.0,8.0,256.0,,8.0,8,0.07333333333333333,0.9733333333333334,-0.9,0.07333333333333333,5.147512834471651,0.932962962962963,17633,18900,29909,1.171941589564085,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,42,2410
7,digits,8,modular,Z/3^5Z,3.0,5.0,243.0,,7.924812503605781,8,0.09333333333333334,0.9733333333333334,-0.88,0.09777777777777778,5.147775497100355,0.9352910052910053,17677,18900,29909,1.34676662273705,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,42,2410
7,digits,8,modular,Z/5^3Z,5.0,3.0,125.0,,6.965784284662087,7,0.11333333333333333,0.9733333333333334,-0.8600000000000001,0.11333333333333333,5.1474016332332395,0.9592592592592593,18130,18900,29909,1.0066081769764423,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,37,2405
7,digits,8,rns,RNS,,,253.0,11x23,7.98299357469431,9,0.10222222222222223,0.9733333333333334,-0.8711111111111112,0.10444444444444445,5.147379580762236,0.9350793650793651,17673,18900,29909,3.388308407738805,1065600,2131200,4.6296296296296294e-05,0.0,2410,2368,42,2368,48,2416
7,digits,8,modular,Z/2^12Z,2.0,12.0,4096.0,,12.0,12,0.07333333333333333,0.9733333333333334,-0.9,0.07555555555555556,5.167592414701338,0.42264550264550266,7988,18900,29909,1.4294082298874855,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,63,2431
7,digits,8,modular,Z/3^7Z,3.0,7.0,2187.0,,11.094737505048093,12,0.10666666666666667,0.9733333333333334,-0.8666666666666667,0.10222222222222223,5.161879457306791,0.6261375661375661,11834,18900,29909,1.5545918140560389,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,63,2431
7,digits,8,modular,Z/5^5Z,5.0,5.0,3125.0,,11.609640474436812,12,0.11333333333333333,0.9733333333333334,-0.8600000000000001,0.11333333333333333,5.155130000793877,0.5176719576719576,9784,18900,29909,1.245591789484024,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,63,2431
7,digits,8,rns,RNS,,,4087.0,61x67,11.996826528020659,13,0.06666666666666667,0.9733333333333334,-0.9066666666666667,0.06888888888888889,5.171479315510187,0.4235978835978836,8006,18900,29909,3.1112416181713343,1065600,2131200,4.6296296296296294e-05,0.0,2410,2368,42,2368,69,2437
7,digits,8,modular,Z/2^16Z,2.0,16.0,65536.0,,16.0,16,0.9711111111111111,0.9733333333333334,-0.0022222222222222365,0.9888888888888889,0.22193460285567262,0.00015873015873015873,3,18900,34358,0.8765833918005228,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,84,2452
7,digits,8,modular,Z/3^10Z,3.0,10.0,59049.0,,15.849625007211563,16,0.9511111111111111,0.9733333333333334,-0.022222222222222254,0.9688888888888889,0.2940244756992282,0.0007936507936507937,15,18900,34358,0.942099979147315,1065600,1065600,0.00011574074074074075,0.0,2410,2368,42,2368,84,2452
7,digits,8,modular,Z/5^6Z,5.0,6.0,15625.0,,13.931568569324174,14,0.08444444444444445,0.9733333333333334,-0.888888888888889,0.08666666666666667,5.067341530100672,0.14179894179894179,2680,18900,39504,0.9596583899110556,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,74,2442
7,digits,8,rns,RNS,,,64507.0,251x257,15.97716810314465,17,0.9688888888888889,0.9733333333333334,-0.004444444444444473,0.9866666666666667,0.2289784701648083,0.00021164021164021165,4,18900,34358,3.108458174392581,1065600,2131200,9.259259259259259e-05,0.0,2410,2368,42,2368,90,2458
7,digits,8,modular,Z/2^18Z,2.0,18.0,262144.0,,18.0,18,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,1.20931682176888,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,95,2463
7,digits,8,modular,Z/3^11Z,3.0,11.0,177147.0,,17.43458750793272,18,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,1.0877331718802452,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,95,2463
7,digits,8,modular,Z/5^7Z,5.0,7.0,78125.0,,16.253496664211536,17,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,0.9240166284143925,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,90,2458
7,digits,8,rns,RNS,,,256027.0,503x509,17.965936435881222,18,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,2.701999992132187,1065600,2131200,9.259259259259259e-05,0.0,2410,2368,42,2368,95,2463
7,digits,8,modular,Z/2^24Z,2.0,24.0,16777216.0,,24.0,24,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,0.9931583888828754,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,126,2494
7,digits,8,modular,Z/3^15Z,3.0,15.0,14348907.0,,23.774437510817343,24,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,1.170575013384223,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,126,2494
7,digits,8,modular,Z/5^10Z,5.0,10.0,9765625.0,,23.219280948873624,24,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,1.1453500017523766,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,126,2494
